Сфера (Industry),Подсфера (Sub-sector),Операция по телефону (Phone Operation),Тип (Type),Для чего / Use Case (Purpose),Возможные интеграции (Integrations)
Healthcare,Hospitals & Clinics,Запись на прием (Appointment scheduling),Inbound,"Scheduling patient visits, managing doctor calendar, reducing 3.5 calls per booking to 1","EHR/EMR (Epic, Cerner, Meditech, Allscripts), Calendar systems (Google, Outlook), SMS notification services, Patient portals"
Healthcare,Hospitals & Clinics,Перезапись/отмена приема,Inbound,"Rescheduling appointments, managing cancellations","EHR/EMR systems, Calendar APIs, SMS confirmations"
Healthcare,Hospitals & Clinics,Запрос рецептов (Prescription refills),Inbound,"Refilling medications, routing to pharmacy","Pharmacy management systems, EHR prescription modules, E-prescribing systems"
Healthcare,Hospitals & Clinics,Результаты анализов (Lab results),Inbound,Providing non-critical test results to patients,"Lab information systems (LIS), EHR results portal, Secure messaging"
Healthcare,Hospitals & Clinics,Верификация страховки,Inbound,"Verifying insurance coverage, eligibility checks","Insurance clearinghouses (Availity, Change Healthcare), Payer APIs, EHR insurance modules"
Healthcare,Hospitals & Clinics,Вопросы по счетам,Inbound,"Billing inquiries, payment arrangements","Medical billing systems (Kareo, AdvancedMD), Payment processors, Patient accounting"
Healthcare,Hospitals & Clinics,Напоминания о приеме,Outbound,"Reducing no-shows, confirming appointments 24-48h before","EHR appointment schedules, SMS/Voice notification platforms, Calendar integrations"
Healthcare,Hospitals & Clinics,Уведомления о результатах,Outbound,Notifying patients of test results,"Lab systems, EHR, Secure messaging platforms"
Healthcare,Hospitals & Clinics,Опросы удовлетворенности,Outbound,"Collecting patient feedback, HCAHPS surveys","Survey platforms, CRM systems, Quality management tools"
Healthcare,Private Practices,Запись на консультацию,Inbound,Scheduling consultations with specialists,"Practice management software (Athenahealth, DrChrono), Calendars"
Healthcare,Dental Practices,Запись к стоматологу,Inbound,"Scheduling dental appointments, cleanings, procedures","Dental practice management (Dentrix, Eaglesoft, Open Dental), Calendars, SMS"
Healthcare,Dental Practices,Напоминания о визитах,Outbound,Reducing no-shows for dental appointments,"Dental PM systems, Automated reminder services"
Healthcare,Pharmacies,Статус рецепта,Inbound,"Checking prescription status, refill readiness","Pharmacy management systems (QS/1, PioneerRx), Prescription databases"
Healthcare,Pharmacies,Доставка лекарств,Inbound,Coordinating home delivery of medications,"Pharmacy systems, Delivery management, Route optimization"
Healthcare,Labs & Diagnostics,Запись на анализы,Inbound,"Scheduling lab tests, specimen collection","Lab information systems, Appointment scheduling"
Banking & Finance,Retail Banking,Проверка баланса (Balance inquiry),Inbound,"Checking account balance, recent transactions","Core banking systems (Temenos, FIS, Fiserv), Mobile banking APIs, Account databases"
Banking & Finance,Retail Banking,История транзакций,Inbound,Reviewing transaction history,"Core banking, Transaction databases, Mobile banking"
Banking & Finance,Retail Banking,Активация карты (Card activation),Inbound,Activating new debit/credit cards,"Card management systems, Core banking, Mobile apps"
Banking & Finance,Retail Banking,Сброс PIN,Inbound,Resetting card PIN codes,"Card management systems, IVR systems, Security protocols"
Banking & Finance,Retail Banking,Блокировка карты,Inbound,Blocking lost/stolen cards,"Card management, Fraud systems, Real-time processing"
Banking & Finance,Retail Banking,Онлайн-банкинг поддержка,Inbound,Technical support for online/mobile banking,"Digital banking platforms, Help desk systems, Knowledge bases"
Banking & Finance,Retail Banking,Оповещения о мошенничестве,Outbound,"Fraud alert verification, suspicious activity confirmation","Fraud detection systems, Real-time analytics, SMS/Voice platforms"
Banking & Finance,Retail Banking,Напоминания о платежах,Outbound,"Payment due reminders, overdue notifications","Core banking, Payment systems, CRM"
Banking & Finance,Retail Banking,Опросы клиентов,Outbound,"Customer satisfaction surveys, NPS collection","Survey platforms, CRM (Salesforce, Dynamics)"
Banking & Finance,Credit Cards,Активация кредитной карты,Inbound,Activating new credit cards,"Credit card platforms, Core banking"
Banking & Finance,Credit Cards,Программа лояльности,Inbound,"Checking rewards points, redemption options","Loyalty platforms, Rewards management"
Banking & Finance,Loans & Mortgages,Статус заявки на кредит,Inbound,Checking loan/mortgage application status,"Loan origination systems (Encompass, Calyx Point), Document management"
Banking & Finance,Loans & Mortgages,Предварительное одобрение,Inbound,"Pre-qualification questions, initial screening","Credit bureaus APIs, Loan calculators, Decision engines"
Banking & Finance,Loans & Mortgages,График платежей,Inbound,"Payment schedule inquiries, payoff quotes","Loan servicing systems, Amortization calculators"
Banking & Finance,Insurance (Financial),Запрос котировки,Inbound,"Getting insurance quotes, policy information","Insurance platforms, Quote engines, CRM"
E-commerce & Retail,Online Stores,Отслеживание заказа (Order tracking),Inbound,"Checking order status, delivery ETA","E-commerce platforms (Shopify, WooCommerce, Magento), Shipping APIs (FedEx, UPS, DHL), Order management systems"
E-commerce & Retail,Online Stores,Информация о товаре,Inbound,"Product specifications, availability, pricing","Product catalogs, Inventory management, PIM systems"
E-commerce & Retail,Online Stores,Возврат/обмен (Returns),Inbound,"Processing returns, exchanges, refunds","Return management systems, E-commerce platforms, Payment processors"
E-commerce & Retail,Online Stores,Проблемы с оплатой,Inbound,"Payment failures, alternative payment methods","Payment gateways (Stripe, PayPal, Square), Fraud detection"
E-commerce & Retail,Online Stores,Подтверждение заказа,Outbound,"Order confirmation, payment confirmation","E-commerce platforms, Email/SMS services, Order management"
E-commerce & Retail,Online Stores,Уведомления о доставке,Outbound,"Shipping notifications, delivery updates","Shipping carriers APIs, Tracking systems, Notification services"
E-commerce & Retail,Online Stores,Брошенная корзина,Outbound,"Cart abandonment follow-up, recovery","E-commerce analytics, Marketing automation, CRM"
E-commerce & Retail,Marketplaces,Статус заказа продавца,Inbound,Multi-seller order management,"Marketplace platforms (Amazon, eBay APIs), Seller tools"
E-commerce & Retail,Food Delivery,Статус доставки еды,Inbound,"Delivery ETA, driver location","Delivery platforms (DoorDash, Uber Eats APIs), GPS tracking"
E-commerce & Retail,Food Delivery,Изменение заказа,Inbound,Modifying orders before preparation,"Restaurant POS, Order management, Kitchen display systems"
